81705,230005,0,10
81695,229995,0,10
81705,229995,0,10
81705,229985,0,10
81465,230075,0,13
81465,230065,0,13
80885,229805,0,10
80885,229795,0,10
80765,229935,0,13
80765,229925,0,13
80835,229945,0,10
80835,229935,0,10
80785,229955,0,15
80795,229955,0,15
80805,229955,0,15
80785,229945,0,15
80795,229945,0,15
80805,229945,0,15
80785,229935,0,15
80795,229935,0,15
80805,229935,0,15
80785,229925,0,15
80795,229925,0,15
80805,229925,0,15
80785,229915,0,15
80795,229915,0,15
80805,229915,0,15
80725,229905,0,12
80735,229905,0,12
80765,229955,0,13
80765,229945,0,13
80815,229915,0,12
80815,229905,0,12
80825,229945,0,13
80825,229935,0,13
80825,230015,0,11
80825,230005,0,11
80835,229995,0,11
80805,229995,0,8
80805,229985,0,8
80665,229125,0,5
80675,229125,0,5
80865,229915,0,16
80875,229915,0,16
80875,229905,0,16
80665,229285,0,11
80665,229275,0,11
80675,229275,0,11
80815,229825,0,13
80815,229815,0,13
80805,229805,0,13
80815,229805,0,13
80805,229795,0,13
80815,229795,0,13
80805,229785,0,13
80815,229785,0,13
80805,229775,0,13
80815,229775,0,13
80665,229135,0,5
80665,229145,0,6
80675,229145,0,6
80785,229475,0,8
80785,229895,0,9
80795,229895,0,9
80865,229835,0,13
80865,229825,0,13
80865,229815,0,13
80635,229195,0,8
80645,229195,0,8
80625,229185,0,8
80635,229185,0,8
80645,229185,0,8
80615,229175,0,8
80625,229175,0,8
80635,229175,0,8
80645,229175,0,8
80615,229165,0,8
80625,229165,0,8
80635,229165,0,8
80915,229775,0,6
80745,229825,0,15
80755,229825,0,15
80845,229765,0,12
80875,229755,0,12
81625,229205,0,11
81635,229205,0,11
81645,229205,0,11
81635,229195,0,11
81645,229195,0,11
81655,229195,0,11
81675,229995,0,9
81685,229985,0,9
81675,229945,0,21
81685,229945,0,21
81675,229935,0,21
81595,229205,0,10
81605,229205,0,10
81605,229195,0,10
81685,229225,0,11
81695,229215,0,11
81705,229215,0,11
81605,229255,0,8
81605,229245,0,8
81665,229995,0,7
81655,229925,0,10
81605,229995,0,16
81605,229985,0,16
81585,230015,0,18
81585,229935,0,18
81595,229935,0,18
81595,229925,0,18
81615,229965,0,6
81625,229965,0,6
80645,229225,0,9
80655,229225,0,9
80655,229215,0,9
80645,229235,0,10
80665,229255,0,10
80775,229435,0,5
